Repetition,Time,Format,Equipment,ExerciseType,TargetMuscle,Difficulty
150, undefined, rounds for time, dumbbell and box, snatches and burpee box jump-overs, full body, low
-1, 12 minutes, AMRAP, dumbbells and pull-up bar and barbell, weighted walking lunge and toes-to-bars and power cleans and bar muscle-ups, undefined, medium
-1,24:00,rounds for time,barbell,pull-ups and squat snatches,back and shoulders and legs,high
-1,13 minutes,AMRAP,barbell and wall ball and rowing machine,deadlifts and wall-ball shots and rowing and handstand push-ups,undefined,high
90, undefined, rounds for time, barbell and jump rope, thrusters and double-unders, undefined, low
-1,20 minutes,AMRAP,dumbbell and machine,toes-to-bars and dumbbell hang clean and jerks and row,core and shoulders and back,medium
55, undefined, rounds for time, dumbbell, dumbbell squats and bar-facing burpees, undefined, medium
-1, undefined, undefined, dumbbell and barbell, squat and burpees and clean, undefined, high
488, undefined, rounds for time, jump rope and barbell and rings and dumbbell, double-unders and overhead squats and ring muscle-ups and dumbbell snatches and bar muscle-ups, undefined, high
126, undefined, rounds for time, barbell, deadlifts and handstand push-ups and handstand walk, undefined, medium
-1,undefined,rounds for time,barbell,pull-ups and thrusters,upper body and lower body,medium
-1,15 minutes,AMRAP,wall-ball and rowing machine,wall-ball shots and rowing,undefined,low
-1,20,AMRAP,barbell,jump rope,gymnastics,weightlifting,core,legs,undefined
300, undefined, undefined, dumbbell and box, lunge and step-up and handstand push-up and handstand walk, shoulders and legs, low
132,undefined,rounds for time,barbell,Snatches and Bar-facing burpees and Bar muscle-ups,Full body,medium
105, undefined, rounds for time, barbell, thrusters and chest-to-bar pull-ups, undefined, medium
80, undefined, rounds for time, barbell, ground-to-overheads and bar-facing burpees, undefined, medium
-1,20 minutes,AMRAP,dumbbells and pull-up bar,dumbbell thrusters and toes-to-bars and double-unders,full body,medium
126, undefined, rounds for time, barbell, deadlifts and handstand push-ups and handstand walk, undefined, low
180, undefined, rounds for time, barbell and box, box jumps and clean and jerks and single-leg squats, full body, high
240, undefined, rounds for time, pull-up bar and rowing machine and wall ball, muscle-ups and rowing and wall-ball shots, upper body and back and legs, medium
85, undefined, rounds for time, undefined, wall walks and double-unders, shoulders and calves, medium
150, undefined, rounds for time, dumbbell and box, snatches and burpee box jump-overs, full body, low
180,undefined,rounds for time,barbell,front squats and toes-to-bars and thrusters and chest-to-bar pull-ups and bar muscle-ups,undefined,low
4, undefined, undefined, barbell, deadlift and clean and hang clean and jerk, undefined, medium
-1,15,AMRAP,dumbbell and box,wall walks and dumbbell snatches and box jump-overs,undefined,high
110, undefined, rounds for time, barbell, Deadlifts and Bar-facing burpees, undefined, medium
231, undefined, rounds for time, barbell and jump rope, pull-ups and double-unders and thrusters and chest-to-bar pull-ups and bar muscle-ups, undefined, medium
-1,14 minutes,AMRAP,rower and pull-up bar and wall ball and barbell,rowing and toes-to-bars and wall-ball shots and cleans and muscle-ups,full body,medium
-1,undefined,rounds for time,pull-up bar and space for shuttle runs,burpee pull-ups and shuttle runs,full body,low
1, undefined, undefined, barbell, thruster, undefined, medium
92, 9 minutes, rounds for time, barbell and jump rope, wall walks and double-unders and snatches and strict handstand push-ups, shoulders and legs and core, high
144, undefined, rounds for time, dumbbell, dumbbell snatches and lateral burpees over dumbbell, undefined, low
